2021-05-26 14:34:35.089 [http-nio-8080-exec-1] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.username=?
2021-05-26 14:47:19.475 [http-nio-8080-exec-1] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.username=?
2021-05-26 14:50:12.757 [http-nio-8080-exec-3] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 15:16:52.418 [http-nio-8080-exec-4] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 15:18:32.323 [http-nio-8080-exec-5] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 15:21:34.240 [http-nio-8080-exec-6] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 15:21:45.438 [http-nio-8080-exec-7] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 15:29:26.120 [http-nio-8080-exec-8] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 15:29:42.452 [http-nio-8080-exec-9] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 15:32:41.270 [http-nio-8080-exec-3] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.username=?
2021-05-26 15:34:45.003 [http-nio-8080-exec-1] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.username=?
2021-05-26 15:53:52.398 [http-nio-8080-exec-1] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.username=?
2021-05-26 16:03:34.964 [http-nio-8080-exec-1] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:15:06.184 [http-nio-8080-exec-2] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:15:21.952 [http-nio-8080-exec-4] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:20:42.996 [http-nio-8080-exec-1] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:20:52.247 [http-nio-8080-exec-3] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:21:24.950 [http-nio-8080-exec-2] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:27:16.863 [http-nio-8080-exec-5] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:28:01.638 [http-nio-8080-exec-4] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:28:41.565 [http-nio-8080-exec-6] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:28:52.941 [http-nio-8080-exec-7] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:30:37.881 [http-nio-8080-exec-8] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:33:24.808 [http-nio-8080-exec-9] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:45:47.799 [http-nio-8080-exec-1] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:49:39.735 [http-nio-8080-exec-1] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:50:45.321 [http-nio-8080-exec-1] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:53:18.647 [http-nio-8080-exec-1] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 16:59:35.523 [http-nio-8080-exec-1] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 17:08:02.333 [http-nio-8080-exec-5] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 17:12:04.965 [http-nio-8080-exec-1] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 17:13:24.169 [http-nio-8080-exec-3] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 17:26:55.268 [http-nio-8080-exec-1] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 17:38:15.880 [http-nio-8080-exec-2] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
2021-05-26 17:55:01.495 [http-nio-8080-exec-2] DEBUG org.hibernate.SQL - select user0_.user_id as user_id1_0_, user0_.add_time as add_time2_0_, user0_.add_user as add_user3_0_, user0_.edit_time as edit_tim4_0_, user0_.edit_user as edit_use5_0_, user0_.email as email6_0_, user0_.forget_flag as forget_f7_0_, user0_.lock_flag as lock_fla8_0_, user0_.password as password9_0_, user0_.phone_number as phone_n10_0_, user0_.real_name as real_na11_0_, user0_.status as status12_0_, user0_.username as usernam13_0_ from [user] user0_ where user0_.user_id=?
